Year,Tm,WAR,Salary,Position
2000,PHI,2.4,"$4,833,333",C
2000,CHW,-0.2,"$225,000",RF
2000,ATL,0.0,"$255,000",P
2000,NYY,,"$201,000",P
2000,HOU,-0.1,"$5,032,444",P
2000,MIN,,"$207,500",P
2000,DET,0.1,,CF
2000,2TM,0.1,,P
2000,CHC,-0.1,"$205,000",
2000,MON,0.2,,P
2000,LAD,0.4,,C
2000,2TM,0.0,"$2,650,000",P
2000,ATL,0.1,"$1,000,000",2B
2000,Tm,WAR,Salary,
2000,CLE,3.4,"$7,500,000",CF
2000,PIT,0.0,"$400,000",P
2000,ATL,-0.7,,RF
2000,OAK,2.4,"$201,000",CF
2000,FLA,0.0,"$255,000",P
2000,TBD,-0.1,"$800,000",P
2000,ATL,2.5,"$6,250,000",C
2000,MIL,0.5,"$775,000",SS
2000,FLA,-0.1,,
2000,SDP,-0.1,,P
2000,MIL,2.0,"$2,500,000",SS
2000,2TM,0.0,"$245,000",P
2000,BOS,0.0,"$625,000",P
2000,CHW,0.0,"$255,000",P
2000,FLA,2.2,"$255,000",3B
2000,SFG,0.5,,LF
2000,CIN,0.0,,P
2000,HOU,0.1,,SS
2000,2TM,-0.5,"$200,000",C
2000,ANA,0.0,,SS
2000,2TM,-0.4,"$1,850,000",RF
2000,SEA,0.0,,C
2000,DET,0.6,"$205,000",2B
2000,ATL,0.1,"$11,100,000",P
2000,HOU,0.0,"$350,000",P
2000,Tm,WAR,Salary,
2000,BAL,,"$205,000",P
2000,SDP,1.0,"$775,000",3B
2000,DET,-0.1,"$205,000",RF
2000,OAK,0.0,"$900,000",P
2000,2TM,0.1,"$217,000",P
2000,NYM,0.3,"$750,000",P
2000,CHC,0.1,,C
2000,CHC,0.0,,P
2000,NYM,0.0,,P
2000,ARI,0.0,"$2,831,000",P
2000,COL,0.4,"$450,000",1B
2000,PIT,-0.1,,P
2000,ATL,0.1,,P
2000,STL,0.5,"$240,000",C
2000,2TM,0.5,"$1,750,000",LF
2000,CLE,0.0,"$225,000",P
2000,4TM,0.6,"$2,000,000",1B
2000,SEA,5.7,"$5,400,000",1B
2000,TBD,1.8,,SS
2000,BOS,,"$11,500,000",P
2000,BOS,0.0,"$6,320,000",P
2000,SFG,1.2,"$220,000",SS
2000,FLA,-0.1,"$318,000",C
2000,NYY,0.3,"$4,800,000",1B
2000,CLE,,,P
2000,Tm,WAR,Salary,
2000,LAD,0.0,"$230,000",P
2000,TEX,1.5,"$230,000",CF
2000,STL,1.8,"$750,000",C
2000,OAK,0.0,"$1,225,000",P
2000,BAL,0.4,"$200,000",CF
2000,CHC,-0.2,,LF
2000,STL,0.0,,P
2000,SDP,0.0,,P
2000,MIN,0.1,"$202,000",2B
2000,COL,0.1,"$1,750,000",C
2000,MIN,0.1,"$240,000",P
2000,KCR,1.5,"$325,000",1B
2000,TBD,-0.3,"$1,850,000",LF
2000,DET,0.0,,P
2000,TEX,0.7,,RF
2000,CLE,0.2,,SS
2000,STL,0.3,,C
2000,BAL,0.0,"$1,450,000",P
2000,NYM,-0.2,,LF
2000,ATL,0.0,"$242,000",P
2000,TBD,0.2,"$5,945,818",1B
2000,NYM,0.0,,RF
2000,STL,4.2,"$9,333,333",1B
2000,HOU,-0.2,,P
2000,SEA,1.3,"$2,000,000",2B
2000,Tm,WAR,Salary,
2000,ATL,0.0,"$350,000",P
2000,DET,0.8,"$250,000",RF
2000,HOU,0.0,,P
2000,2TM,-0.2,"$360,000",P
2000,PIT,0.3,"$3,290,000",SS
2000,SEA,,"$252,500",P
2000,2TM,0.0,"$350,000",P
2000,2TM,-0.2,,1B
2000,SFG,-0.2,,2B
2000,HOU,1.9,"$215,000",C
2000,COL,-0.4,,LF
2000,NYY,,"$1,400,000",P
2000,OAK,0.5,"$201,000",2B
2000,CIN,0.0,"$220,000",P
2000,BAL,0.0,,P
2000,ANA,,"$850,000",P
2000,BOS,0.1,"$250,000",3B
2000,SEA,0.0,"$3,950,000",P
2000,LAD,-0.2,,LF
2000,CHC,-0.2,,2B
2000,FLA,0.0,"$1,500,000",P
2000,MIN,-0.1,,1B
2000,2TM,-0.7,"$700,000",LF
2000,FLA,1.7,"$265,000",1B
2000,ARI,2.0,"$300,000",C
2000,Tm,WAR,Salary,
2000,MIN,0.0,"$225,000",P
